FROM,TO,Com_Biz,Com_Jtw,Com_Non,Cor_Biz,Cor_Jtw,Cor_Non,Exp_Biz,Exp_Jtw,Exp_Non
HartfordWestEastCT,PhiladelphiaMetroReadingPA,0,0,0,9123.78840820337,4957.56621663856,44506.0167271789,8251.12465306286,1035.91672959544,8106.07147632642
HartfordWestEastCT,PoughkeepsieNewburgMiddletownNY,0,0,0,1369.92714884833,826.704692805332,1574.28476259494,333.616683827841,79.3434302956221,341.540384239714
HartfordWestEastCT,ProvidenceNewBedfordFallRiverRIMA,0,0,0,56788.3292893209,25037.1147011936,102168.370257778,561.263198370381,78.1087739782599,770.563649517661
HartfordWestEastCT,RichmondMetroVA,0,0,0,0.493723684355398,234.908830970284,1237.80276167916,314.265229514052,5.25907388277669e-06,330.382919278207
HartfordWestEastCT,SpringfieldMAWorcesterMAPittsfieldMA,0,0,0,1929.66270384631,1226.12775283531,3814.78707115271,322.633906572554,16.4029721826841,216.836799716711
HartfordWestEastCT,WashingtonDCMetro,0,0,0,21556.4014654792,6445.08620938894,53583.7957165611,19333.6250167568,1348.55539289021,15310.3407649924
KingstonNYHudsonNY,AlbanySchenectadyTroyNY,0,0,0,193.473663692634,110.820735765027,680.470595867302,0,0,0
KingstonNYHudsonNY,AtlanticCityRestofNewJersey,0,0,0,133.182040839272,0.0430636584233341,45.7787031501569,6.22429562531109,0.000262793191198645,2.00674673015443
KingstonNYHudsonNY,BaltimoreMetro,0,0,0,3171.56915738624,0.278700024771445,501.794289858441,45.4590475349966,0.000860860459689615,10.0501938449428
KingstonNYHudsonNY,BostonMetroManchesterNashuaNH,0,0,0,2682.76251312032,1143.18357178826,5924.21455272888,1699.17657733597,16.5045149089858,1444.38876559212
KingstonNYHudsonNY,BridgeportStamfordNorwalkCT,0,0,0,320.798254600887,584.101932156647,890.721030650851,18.7977659271988,1.05003590671233,28.0697426529259
KingstonNYHudsonNY,HarrisburgPALancasterPA,0,0,0,442.994833509167,0.174361531228751,181.776551259429,4.14084765551439,0.000154340487453012,1.57911647088139
KingstonNYHudsonNY,HartfordWestEastCT,0,0,0,139.103116426444,106.937700368448,514.688868479209,368.563001493478,17.1212710833258,366.414564061042
KingstonNYHudsonNY,KingstonNYHudsonNY,0,0,0,116.749888314918,80.2396356400664,548.312113660296,0,0,0
KingstonNYHudsonNY,LancasterPA,0,0,0,597.021750886931,0.166743605870177,188.564428890575,12.0705841412536,0.000352339628138763,3.1979594136524
KingstonNYHudsonNY,NewCastleDECecilMDSalemNJ,0,0,0,344.105983098506,0.110850209712694,138.545736372412,9.32954867194546,0.000426543907449028,2.98323198158847
KingstonNYHudsonNY,NewHavenMilfordCTLitchfieldCT,0,0,0,2620.68944106475,2522.72133301801,8959.76538868781,47.0239408200841,2.83847544684872,61.3169257335614
KingstonNYHudsonNY,NewYorkCityNYWestchesterNYLongIsland,0,0,0,33849.3171508633,27488.2600602997,202090.720785283,10804.0784976399,198.01876899287,18561.1015190371
KingstonNYHudsonNY,NewarkNJNorthernNewJersey,0,0,0,30304.3329037674,17606.2667217277,101475.066459427,3073.66261346293,43.4051800223183,3266.65096082553
KingstonNYHudsonNY,NorwichNewLondonCTWindhamCT,0,0,0,395.3132996563,46.0691926680206,638.828228163791,2.0042179770492,0.0670928125502224,2.42612441579689
KingstonNYHudsonNY,PhiladelphiaMetroReadingPA,0,0,0,166.106627492807,0.121879983614428,62.5958223226502,1.68945346335436,0.000554630242449137,0.655417199121685
KingstonNYHudsonNY,PoughkeepsieNewburgMiddletownNY,0,0,0,363.803266832127,467.074121969564,925.926146911072,18.4165333439664,0.85945001806194,31.2518670925052
KingstonNYHudsonNY,ProvidenceNewBedfordFallRiverRIMA,0,0,0,919.406675354129,100.143201583286,893.232386408039,306.34073872162,2.36252857379345,90.9924988020611
KingstonNYHudsonNY,RichmondMetroVA,0,0,0,476.286921899369,0,79.8892032197307,0.863738400131712,0,0.191333257718266
KingstonNYHudsonNY,SpringfieldMAWorcesterMAPittsfieldMA,0,0,0,534.810229606076,537.371860274538,821.41293739045,241.531179615052,3.82476493502118,121.516399986846
